expression
1.5 degrees c
2010 biodiversity target
2010 target
2030 agenda for sustainable development
2030 challenge
2030 sustainable development goals
3-step strategic approach
3d printing
abandoned cropland mapping
abandoned mines
abiotic and biotic resources
aboriginal community
aboriginal people
abortion clinic
abortion law and policy
abortion rights
above ground standing biomass
absolute poverty
absorption heat pump
abuja declaration
abuse drug
abuse drugs
abuse substance
abuse substances
abused women
academic entrepreneur
academic freedom
academic libraries
academic partnerships
academic responsibilities
accelerated course
accelerating change
acceptable diet
accesibilidad a los servicios sanitarios
accesibilidad a servicios sanitarios
access affordable
access energies
access energy
access to banking
access to basic services
access to care
access to clean water and sanitation
access to drinking water
access to education
access to electricity
access to finance
access to financial service
access to health care
access to health facilities
access to health services
access to health-care services
access to information
access to insurance service
access to land
access to medicines
access to obstetric services
access to the internet
access to water
accessibilite aux services de sante
accessibilite des services de sante
accessible toilet
accessible water
accountable institution
accountable institutions
accountable organisation
acea agreement
acid violence
acquired immune deficiency syndrome
acquired immunodeficiency syndrome
acrylic acid
action alert
activated carbon adsorption
activated carbon production
activated sludge
active daylighting
active fire protection
active traffic management
actor–network theory
acute disseminated encephalomyelitis
acute hepatitis
acute kidney injury
acute malnutrition
acute respiratory disease
acute respiratory infection
adaptation pathway
adaptive capacity
adaptive co-management
adaptive comanagement
adaptive cycle
added worker effect
addiction treatment
addictive behaviour
additive manufacturing
administrative corruption
adolescent birth
adolescent girls
adolescent health
adolescent health services
adolescent pregnancy
adopted child syndrome
adult education
adult learning and education
adult literacy
adulterated food
advanced energy materials
advanced innovation design approach
advanced manufacturing
advanced oxidation process
adverse outcomes
advertising campaign
advisory committee
advocacy and political process
advocacy coalitions
aedes luteocephalus
aerobic granular reactor
aerobic granulation
aerobic treatment system
aerotoxic syndrome
affirmative action
affordable access
affordable assisted reproduction treatment
affordable credit
affordable drinking water
affordable education
affordable electricity
affordable energies
affordable energy
affordable housing
affordable medicines
africa surgery
african cities
african countries
african development
african education
age disability
age discrimination
agency monitoring
agency regulation
agenda 2030
agricultural biodiversity
agricultural biotechnology
agricultural cooperative
agricultural development
agricultural drone
agricultural expansion
agricultural export subsidies
agricultural growth
agricultural intensification
agricultural land
agricultural orientation index
agricultural pathways
agricultural pollution
agricultural production
agricultural productivity
agricultural research
agricultural robot
agricultural soil science
agricultural sustainability
agricultural trade reform
agricultural value chain
agricultural wastewater treatment
agriculture and environment
agriculture and food
agriculture and food security
agriculture for impact
agriculture production
agroecological restoration
agroforestry development
agroforestry themes
ai aftermath scenarios
aichi targets
aid allocation
aid dependency
aid efficiency
aid flows
aid for trade
aid localization
aids spending
aids-related deaths
air contamination
air pollutant
air pollutant concentration
air pollution
air quality
air quality guideline
air quality index
air quality law
air source heat pump
air source heat pumps
air sparging
airborne wind turbine
alcohol abuse
alcohol addiction
alcohol and cortisol
alcohol and pregnancy
alcohol consumption
alcohol dependence
alcohol detoxification
alcohol drinking
alcohol fuel
alcohol intake
alcohol intoxication
alcohol misuse
alcohol-related brain damage
alcohol-related harm
alcohol-related problems
alcoholic cardiomyopathy
alcoholic hallucinosis
alcoholic hepatitis
alcoholic ketoacidosis
alcoholic liver disease
algae bioreactor
algae fuel
algal bloom
algorithmic bias
alien plant
alien species
alkaline anion exchange membrane fuel cell
alkaline fuel cell
alpine convention
alternative energy
alternative financial service
alternative fuel
alternatives to car use
aluminium recycling
aluminium–air battery
alzheimer's disease
amartya sen
amazon rainforest
amazonian dark earths
amber road
anaerobic conversion
andean communities
andhra pradesh
animal waste
annual growth rate
anorexia mirabilis
anorexia nervosa
antarctic toothfish
ante-natal care
antenatal care
antenatal care services
antenatal care use
anthropometric measurements
anti-homelessness legislation
anti-tnf alpha agents
antibiotic resistance
anticipatory bail
antimalarial medication
antimicrobial resistance
antipoverty vaccines
antiretroviral therapy
antiretroviral treatment
antisocial personality disorder
appliance recycling
appropriate engineering
appropriate technology
approvisionnement en eau
aquapot project
aquatic ecosystem
aquatic ecosystems
aquatic resource
aquatic toxicology
aquifer storage and recovery
arable land
arbitrary detention
archaeological heritage
archaeological site
architectural heritage
arctic haze
arctic resources race
area of protection
areas beyond national jurisdiction
arid and semi-arid areas
armed conflict
arms flows
arms trafficking
arsenic contamination of groundwater
arsenic mitigation
artelinic acid
artemia enrichment
artemisia annua
artemisia annua agrotechnology
artemisia annua cultivation
artemisinin combinatin therapy
artemisinin resistance
artesian aquifer
artificial insemination
artificial organ
artisanal fisher
artisanal fishers
artisanal fishery
artistic freedom
ash pit
asian social development
aspirating smoke detector
asset-based community development
assisted natural regeneration
assisted reproductive technology
assisted suicide
associate teacher learning and skills
asylum seeker
atlantic forest restoration pact
atlantic halibut
atlantic salmon
atmospheric pollution
atmospheric water generator
attenuated vaccine
australian health care system
authoritative knowledge
automated driving system
automatic fire suppression
automatic self-clean toilet seat
automotive shredder residue
autonomous building
autonomous cargo ship
autonomous logistics
autonomous rail rapid transit
average annual rate of reduction
average global temperature
avoidable death
avoidable mortality
award in education and training
ayuda al desarrollo
azolla event
baby bonus
bachelor of education
bacterial infection
bacterial infections
bacteriological water analysis
balance sheet recession
balanced-growth equilibrium
bank filtration
bank monitoring
bank regulation
barcelona convention
barndoor skate
barriers to action
bas saharan basin
baseline study
basic education
basic emergency obstetric care
basic health unit
basic literacy
basic literacy skills
basic living standards
basic needs
basic sanitation
basic services
basic social services
bass diffusion model
battery electric bus
beach cleanup
beetle bank
before fifth
behaviour therapy
behavioural addiction
behavioural responses to stress
beijing platform for action
bellagio principles
below poverty line
belt and road initiative
belt philtre
benevolent prejudice
bharat stage emission standards
bi-fuel vehicle
bicycle safe
bikeway and legislation
bilateral investment treaty
binge drinking
biobased economy
biodegradability prediction
biodegradable bag
biodegradable electronics
biodiversity conservation
biodiversity decline
biodiversity hotspots
biodiversity indicator
biodiversity indicators
biodiversity loss
biodiversity research network
biodiversity trends
biodiversity value
biofuel policy
biogeochemical cycles
biological diversity
biological hydrogen production (algae)
biological invasion
biological pollution
biomass briquettes
biomedical informatics
biomedical research
biopsychosocial model
bioreactor landfill
biosand philtre
biotic and abiotic factors
biotic homogenization
biotic material
bipolar disorder
birth asphyxia
birth asphyxia (ba)
birth attendants
birth care
birth certificates
birth control
birth interval
birth order
birth preparedness
birth rate
birth registration
black suffrage
blackwater fever
blast fishing
blood alcohol content
blood pressure
blood screening
blue carbon
blue grenadier
blue roof
blue skies research
blue versus green water
bodies of water
bodily autonomy
body privilege
bog pond
boiler feedwater treatment
book burning
bop countries
bottle recycling
bottled water
bottlenose skate
boundary work
brain stimulation reward
brand architecture
brand implementation
breast cancer screening
breast implant
breast milk
breastfeeding and hiv
bride kidnapping
brown waste
bucket toilet
budget reform
budgetary adequacy
buffer strip
building airtightness
building automation
building codes
building design
building energy rating
building insulation
building life cycle
building material
building performance
building performance simulation
building-rooftop greenhouse symbiosis
built heritage
built-in obsolescence
bulimia nervosa
burden of disease
burden of diseases
bureaucratic corruption
burkitt lymphoma
burn pit
business plan
cable internet access
cadmium poisoning
caesarean section
caffeine-induced sleep disorder
calanolide a
call to action
cambridge international general certificate of education
cancer mortality
cancer research
cannabis and impaired driving
canned water
cap and dividend
cap and share
capability approach
capacitive deionization
capacity building
capillary fringe
capital accumulation
capital city
capital control
capitalism without growth
carbon accounting
carbon audit
carbon capture and utilisation
carbon credit
carbon dioxide
carbon dioxide equivalent
carbon dioxide flooding
carbon dioxide in earth's atmosphere
carbon dioxide removal
carbon dioxide scrubber
carbon disulfide
carbon dividend
carbon economy
carbon emission
carbon emissions
carbon farming
carbon fee
carbon finance
carbon footprint
carbon intensity
carbon leakage
carbon literacy
carbon market
carbon monitoring
carbon monoxide
carbon monoxide poisoning
carbon neutral fuel
carbon neutrality coalition
carbon offset
carbon pollution reduction scheme
carbon pricing
carbon profiling
carbon rationing
carbon reduction
carbon retirement
carbon sequestration potential
carbon shifting
carbon storage
carbon storage and sequestration
carbon tax
carbon tetrachloride
carbon trade watch
carbon-based fuel
carbon-neutral fuel
carbon-to-nitrogen ratio
carbonyl sulphide
carbonzero programme
cardiovascular disease
cardiovascular mortality
care cascad
care-seeking behavior
caricom caribbean
case fatality
case management
caste system
casual sex
catapult centres
categorical imperative
cause and consequence
cause-specific mortality
causes of growth
caviar diplomacy
cavity wall insulation
cell stem cell
cellular infrastructure
cellular networks
central asia
ceramic water philtre
certificate in education and training
certificate of initial mastery
certificate of origin
certification for sustainable transportation
certified emission reduction
certified wood
cervical cancer
cervical cancer screening
chagas disease
chain smoking
changement climatique
changing climate
changing weather patterns
charcoal production
charging station
chemical addition wastewater treatment
chemical castration
chemical fouling inhibitor
chemical phosphorus removal
chemical toilet
chicago climate exchange
child abandonment
child abuse
child advocacy
child and family health
child and maternal health
child benefit
child custody
child death
child deaths
child development
child development intervention
child diarrhea
child education
child feeding
child growth
child health
child health day
child health interventions
child health outcomes
child health surveys
child hunger
child labor
child labour
child malnutrition
child maltreatment
child marriage
child migration
child morbidity
child mortality
child mortality monitoring
child mortality rate
child nutrition
child nutrition disorders/epildemiology/economics
child nutritional disorders
child nutritional status
child pirate
child poverty
child protection
child public health
child slavery
child soldiers
child stunting
child support
child survival
child trafficking
child undernutrition
child welfare
child well-being
child work
child-survival revolution
childhood death
childhood malnutrition
childhood mortality
children abuse
children exploitation
children explotaiton
children under 5 years of age
children's rights
childs perspective
chinese national carbon trading scheme
chiranjeevi scheme
chlamydia infection
chlamydia infections
chlamydia trachomatis
chlorinated paraffin
chronic bacterial prostatitis
chronic care model
chronic disease
chronic hepatitis
chronic kidney disease
chronic kidney disease prevention
chronic malnutrition
chronic poverty
chronic restrictive lung disease
chronic stress
church-state relations in melanesia
cigarette receptacle
cigarette smoke
circular economy
cis-7 countries
cities and sustainable development
citizen participation
citizen-state relations
citizens' climate lobby
city branding
city development
city planning
city pollution
civic agriculture
civic space
civil and environmental engineering
civil confinement
civil conflict
civil liberties
civil mobilisation
civil society
civil society organization
civil society partnerships
civil war
clarifying agent
classroom walkthrough
clean development mechanism (cdm)
clean energy
clean energy technology
clean fuel
clean fuel technology
clean fuels
clean technologies
clean technology
clean water
cleaner fossil fuel technology
cleaner production
clients satisfaction
climate action
climate adaptation
climate alliance
climate and gender
climate and infectious disease
climate and politics
climate biodiversity
climate bond
climate capitalism
climate change
climate change adaptation
climate change and water
climate change denial
climate change management
climate change mitigation
climate change planning
climate change policy
climate change responses
climate change security
"climate change, industry and society"
climate changes
climate crisis
climate debt
climate desertification
climate early warning
climate engineering
climate ethics
climate finance
climate for evidence informed health system policymaking
climate forestatiion
climate goal
climate hazard
climate hazards
climate impact
climate impacts
climate inertia
climate justice
climate law and governance initiative
climate mitigation
climate model
climate policies
climate policy
climate policy analysis models
climate refugees
climate registry
climate related hazards
climate resilience
climate resilient urban development
climate restoration
climate risk
climate security
climate strategy
climate variability
climate variability and change
climate vulnerability index
climate warming
climate-adaptive building shell
climate-related disasters
climate-smart agriculture
climatic change
climatic change and food security
clinical audit
clinical care
clinical epidemiology
clinical malaria
clinical pharmacology
clinical pharmacy
clinical practice
clinical practice guidelines
clinical research
clinical trials
closing the loop
clothing consumption
clothing swap
cloud infrastructure
clusters of innovation
co2 balance
co2 capture
co2 capture valorisation and storage
co2 conversion
co2 emission
co2 emissions
coal consumption
coal mine methane
coal mine methane (cmm)
coal mine methane policy
coal-fired power station
coalbed methane
coastal adaptation
coastal and marine fisheries
coastal area
coastal biodiversity
coastal ecosystem
coastal ecosystems
coastal environment
coastal erosion
coastal fishery
coastal flooding
coastal governance
coastal habitat
coastal habitats
coastal ocean
coastal park
coastal parks
coastal resource
coastal resources
coastal system
coastal wetland
coastal zones
cocaine psychosis
coffee wilt disease
cognitive disability
cognitive disorder
cognitive distortion
cognitive liberty
coliform bacteria
coliform index
collaborative governance
collective depression
collective household model
college student
colonial water policy
colour consciousness
coloured dissolved organic matter
combat aids
combat ebola
combat hepatitis
combat hiv
combat malaria
combat terrorism
combat tropical disease
combat tropical diseases
combat zika
combined gas and steam
combined nuclear and steam propulsion
combined sewer
combined steam and gas
commercial banks
commercial enterprises
commercial fishery
commercial intelligence
commercial online services
committee on climate change
commodification of the womb
commodity market
common external power supply
common sole
communicable disease
communicable disease prevention and control
communicable diseases
communication infrastructure
communication networks
communication rights
communication technologies
communities of innovation
community action
community banking models
community based
community based health programs
community based rehabilitation
community capitalism
community care
community consultations
community development
community development bank
community forestry
community health
community health aides
community health care
community health centers
community health programs
community health provision
community health services
community health worker
community health worker programmes
community health worker training
community health workers
community impact
community interventions
community malaria worker
community management
community mental health care
community mobilization
community networks
community nurses
community participation
community platforms
community resilience
community solidarity
community survey
community voices
community volunteers
community water
community well-being
community-based
community-based approaches
community-based disability workers
community-based health insurance
community-based interventions
community-based midwives
community-based natural resource management
community-based organizations
community-based prevention
community-based rehabilitation
community-based therapeutic care
community-based tourism
community-focused strategies
community-health workers
community-led total sanitation
comparative education
compensation for land expropriation
compensatory habitat
competitive intelligence
complementary foods
complex post-traumatic stress disorder
complications of abortion
component obsolescence
compost heater
compost pile
composting toilet
comprehensive emergency obstetric care
comprehensive social security
compressed air car
compressed-air vehicle
compulsory sterilisation
computer-aided design
computer technology for developing areas
computers for pedagogical purpose
concealing birth
concentrated disadvantage
concentrated solar still
concurrent sexual partnerships
condom use
"condoms, needles, and negotiation"
conflic violence
conflict deaths
conflict ecology
conflict management
conflict resolution
conflict-affected countries
congenital syphilis
conifer species
conjugate vaccines
consensus building
consequences of war
conservation agriculture
conservation and development
conservation area
conservation areas
conservation of marine biodiversity
conservation opportunity areas
conservation outside protected areas
conservation priorities
conservation science and society
conservative green paper on international development
conserve oceans
consistent life ethic
conspicuous consumption
constitutional guarantees
construction industry
construction management
construction material
construction materials
consumer behavior
consumer level
consumer levels
consumer welfare
consumer well-being
consumption and production
consumption pattern
consumptive water use
container-based sanitation
container-deposit legislation
contaminated groundwater
contaminated water
contraception and unplanned pregnancy
contraceptive availability
contraceptive distribution
contraceptive implant
contraceptive method
contraceptive security
contraceptive services
contraceptive use
contraction and convergence
controlled traffic farming
convention for the safeguarding of intangible cultural heritage
convention on biological diversity
convention on the rights of the child
cooperative banking
coordinated policies
coordinated policy
cop 21
cop 22
copenhagen syndrome
copper zinc water filtration
coral bleaching
coral reef
coral reef ecosystem
corona virus
corporate citizenship
corporate corruption
corporate governance
corporate social responsibility
corporate social responsibility (csr)
corporate sustainability
corrupt behaviour
corrupt practises
corruption control
corruption levels
cosmopolitan localism
cost of illness
costs of illness
counseling and testing hiv/aids
counting marginalised children
country health information systems
covid-19
crankcase ventilation system
creative entrepreneurship
creative problem-solving
creativity and innovation
criminal law
criminal networks
criminal organisations
critical pedagogy
critical psychology
crop diversity
crop loss
crop production
crop productivity
crop protection
crop residues
crop rotation
crop water productivity
crop yield
crop yields
cropland expansion
cross-border delivery of education
cross-boundary cancer studies
cross-flow filtration
crude oil washing
crude vaccination
crystal led
cuidados obstetricos de emergencia
culex perfuscus
cultivated land
cultural diversity
cultural heritage
cultural landscape
cultural racism
cultural rights
cultural sustainability
cultural values
culturally sustainable development
cumulative emissions
curriculum adaptation
curriculum development
curriculum planning
custody evaluation
cyanide fishing
cyclonic ni\u00f1o\
dac (the development assistance committee)
daily water demand
dairy farming
data banks
date rape
daylight factor
daylight harvesting
daylight redirecting film
deaf rights movement
dealkalization of water
death causes constituent
death clustering
death penalty for homosexuality
death rate
death registries
debt bondage
debt distress
debt reduction
debt relief
debt sustainability
decade of vaccines
decanter centrifuge
decent job
decent job creation
decent work
decent work for all
decentralised development cooperation
decentralised wastewater system
decentralization by devolution
decision-making
decision making
deck prism
deep decarbonisation
deepwater redfish
deficit irrigation
defluoridation of water
degradation analysis
degradation of mcpa in soil
deliberative democracy
delivery care
delivery care utilization
delivery of health care
delivery of health care/organization and administration
demand for family planning
democratic deliberation
democratic development
democratic governance
democratisation of technology
demographic and health surveys
demographic surveillance
demographic transition
dengue fever
dengue virus
dental caries
dental prosthesis
dependency ratio
deposit-refund system
desert riparian
desertification control
desertified land
design for the environment
design management
desired family size
destructive fishing
detention basin
determinants of health
determinants of mortality
developed countries
developed-developing world partnerships
developing communities
developing countries
developing country
developing country manufacturers network
developing markets
developing region
developing states
developing world
development agenda
development aid
development aids
development and climate change
development assistance
development assistance committee
development assistance for health
development banks
development cooperation
development coordination
development discourse
development ethics
development finance
development finance institution
development food
development goal 1c
development goals
development impact
development indicators
development organizations
development oriented policy
development partnership
development planning
development policies
development policy
development policy framework
development politics
development principles
development work
developmental disability
developmental origins of health and disease (dohad)
developmental state
device neutrality
dew pond
diabetes insipidus
diabetes mellitus
diarrheal disease
diarrhoeal disease
diarrhoeal diseases
die-off rates
dietary change
dietary diversification
dietary diversity
dietary guidelines
dietary patterns
dietary quality
differential treatment for developing country
diffuse pollution
digital government
digital government capacity
digital government evolution
digital inclusion
digital libraries
digital rights
dignified mobile toilet
dignity labour
dimensions of inequality
diploma in education and training
directives de la pratique clinique
directly observed therapy
directly observed therapy (dots)
disability adjusted life year
disability and education
disability and family support
disability and inclusion
disability and politics of location
disability discrimination
disability evaluation
disability exclusion
disability inclusion
disability justice
disability prejudice
disability status
disability studies
disability studies in education
disability-adjusted life years
disability-adjusted life-year
disability-inclusive development
disabled people
disabled persons
disadvantaged areas
disadvantaged populations
disaggregated data
disaster management
disaster nursing
disaster resilience
disaster risk reduction
disaster strategy
discouraged worker
discrimination against drug addicts
discrimination against girl
discrimination against people with hiv/aids
discrimination against women
discrimination based on hair texture
discrimination based on skin colour
discrimination in education
discriminatory law
disease accounts
disease burden
disease control
disease control programme
disease effects
disease elimination
disease eradication
disease prevention
disease states
diseases of poverty
disequilibrium macroeconomics
dislocated worker funding
disordered eating
disorders of sex development
displaced populations
displacement ventilation
disposable food packaging
disrespect and abuse
disruptive innovation
disruptive solutions process
distance learning
distilled water
distribution campaign
distributional problems
district committee
district law
diverse food systems
diversified plant
diversified seed
diversity training
divorce settlement
doctoral education
doha development agenda
doha development round
doha round
domestic firms
domestic rainwater harvesting
domestic robot
domestic sewage
domestic violence
domestic wastewater
domestic wastewater treatment
domestic water
domestic water consumption
domestic water supply
domestic work
donor aid
donor funding
donor support
double burden of disease
double burden of malnutrition
double envelope house
double glazing
double standard
drinkable water
drinking fountain
drinking water
drinking water quality
drinking water quality standard
drinking water safety
drinking water supply
drinking water treatment
drinking-water quality
drinking-water supply
drip irrigation
drought refuge
drug abuse
drug addiction
drug availability
drug delivery
drug dependence
drug development
drug discovery
drug donations
drug rehabilitation
drug resistance
drug rule
drug trials
drug use and trafficking
drunk drivers
dry toilet
dryland degradation
dryland farming
dtap-ipv vaccine
dtap-ipv/hib vaccine
dual nutrition burden
ductile iron pipe
dumpster diving
dune water
duplex strainer
dust abatement
dutch disease
duty bearers
duty of consultation and no-harm rule
dye wastewater
e. coli
e-learning
early adopter
early child development
early child development (ecd)
early childhood
early childhood core and development
early childhood development
early childhood trauma
early growth
early initiation
early neonatal mortality
